Exclude?,FULL URI,uri,Notes,headword.en,sourceURI.headword.en,citedRange.headword.en,citationUnit.headword.en,name1.en,sourceURI.name1,citedRange.name1,citationUnit.name1,name2.syr,sourceURI.name2,citedRange.name2,citationUnit.name2,name3.grc,sourceURI.name3,citedRange.name3,citationUnit.name3,name4.en,sourceURI.name4,citedRange.name4,citationUnit.name4,abstract.en,sourceURI.abstract.en,citedRange.abstract.en,citationUnit.abstract.en,idno,idno,idno,idno,idno
follow up,http://syriaca.org/person/4072,4072,See https://archive.org/details/gaigranilicinian00liciuoft/page/n29/mode/2up?q=Ellis,Thomas Ellis,,,,Mr. Ellis,9HGARXCQ,2#480#DXCVIII,vol#p#entry,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4074,4074,,"Eusebius, Abbot of the Convent of Mar Bassus",,,,"Eusebius, abbat of the convent of Mar Bassus",9HGARXCQ,2#701-715#DCCLIV,vol#p#entry,,,,,,,,,"Eusebius, abar of the Convent of Mar Bassus",9HGARXCQ,"3#1273#Eusebius, ab. of the c. of M. Bassus",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4075,4075,,"Barhadbshabba, Abbot of the Great Convent (of Teleda)",,,,"Bar-ḥab-bě-shabbā, abbat of the Great Convent (of Teleda)",9HGARXCQ,2#701-715#DCCLIV,vol#p#entry,,,,,,,,,"Bar-ḥab-bě-shabbā, abar of the Convent of Teleda",9HGARXCQ,"3#1248#Bar-ḥab-bě-shabbā, ab. of the c. of Teleda",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4076,4076,,"Zenobius, Abbot of the Convent of Mar Biza",,,,"Zenobius, abbat of the convent of Mār Bîza",9HGARXCQ,2#701-715#DCCLIV,vol#p#entry,,,,,,,,,"Zenobius, abar of the Convent of Mar Bîza",9HGARXCQ,"3#1334#Zenobius, ab. of the c. of M. Bîza",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4077,4077,,"Jacob, Abbot of the Convent of Aphtonaya",,,,"Jacob, abbat of the convent of Aphtūnāyā",9HGARXCQ,2#704#DCCLIV,vol#p#entry,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4078,4078,,Aretas,9HGARXCQ,3#1280#Ḥarith (Aretas),vol#p#entry,Patricius Ḥareth,9HGARXCQ,2#701-715#DCCLIV,vol#p#entry,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4083,4083,,"Jacob, A Convert from Judaism",,,,Jacob,9HGARXCQ,2#1002-1003#DCCCLXII,vol#p#entry,,,,,,,,,"Jacob, a convert from Judaism",9HGARXCQ,"3#1294#Jacob, a convert from Judaism",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4084,4084,,Timothy of Jerusalem,9HGARXCQ,3#1332#Timothy of Jerusalem,vol#p#entry,Timotheus of Jerusalem,9HGARXCQ,1#203#CCLIV,vol#p#entry,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4085,4085,,Dionysius of Alexandria,9HGARXCQ,3#1269#Dionysius of Alexandria,vol#p#entry,,,,,,,,,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4086,4086,,Cosmas of Maiuma,9HGARXCQ,"3#1263#Cosmas, of Maiūma",vol#p#entry,Cosmas,9HGARXCQ,1#321-324#CCCCX,vol#p#entry,ܐܒܐ ܩܘܣܡܐ | ܐܒܐ ܏ܩܘܣ,9HGARXCQ,1#321-324#CCCCX,vol#p#entry,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4087,4087,,Joseph the Hymnographer,,,,Joseph,9HGARXCQ,1#321-324#CCCCX,vol#p#entry,ܐܒܐ ܝܘܣܦ,9HGARXCQ,1#321-324#CCCCX,vol#p#entry,,,,,Joseph (Hymnographus or Studita) ,9HGARXCQ,3#1300# Joseph (Hymnographus or Studita) ,vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4088,4088,,Mark of Hydruntum,9HGARXCQ,3#1306#Mark of Hydruntum,vol#p#entry,Mark,9HGARXCQ,1#321-324#CCCCX,vol#p#entry,ܐܒܐ ܡܪܩܘܣ,9HGARXCQ,1#321-324#CCCCX,vol#p#entry,,,,,,,,,,,,,,,,,
,http://syriaca.org/person/4089,4089,,Theodore the Studite,,,,Theodore (Studita),9HGARXCQ,1#321-324#CCCCX,vol#p#entry,ܐܒܐ ܬܐܘܕܘܪܘܣ,9HGARXCQ,1#321-324#CCCCX,vol#p#entry,,,,,Theodore Studita,9HGARXCQ,3#1329#Theodore Studita,vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4091,4091,,Gabriel the Stylite of Karman,,,,Gabriel the Stylite of Ḳarmān,9HGARXCQ,2#738-740#DCCLXIX,vol#p#entry,ܓܒܪܐܝܠ ܕܥܠ ܐܣܛܘܢܐ ܕܩܪܡܢ,9HGARXCQ,2#738-740#DCCLXIX,vol#p#entry,,,,,"Gabriel, the stylite, of Ḳarmān",9HGARXCQ,"3#1275#Gabriel, the stylite, of Ḳarmān",vol#p#entry,,,,,,,,,
,http://syriaca.org/person/4092,4092,,Justin Martyr,9HGARXCQ,3#1301#Justin Martyr,vol#p#entry,,,,,,,,,,,,,,,,,"A second-century Christian apologist and martyr who presented Christianity as the true philosophy, drawing on his earlier training in pagan philosophical schools, especially Platonism. Active at Rome in the mid-second century, he is known above all for his two Apologies and the Dialogue with Trypho, and he was executed under the urban prefect Junius Rusticus.",7X46I6X5,"X,2# 1332-1337#https://de.wikisource.org/wiki/RE:Iustinus_11",vol#p#URL,https://www.wikidata.org/wiki/Q185117,https://de.wikipedia.org/wiki/Justin_der_M%C3%A4rtyrer,https://en.wikisource.org/wiki/Author:Justin_Martyr,https://d-nb.info/gnd/118714341,https://www.trismegistos.org/author/467
,http://syriaca.org/person/4093,4093,,"Thomas, Abbot of the Convent of Mar Isaac of Gabula",,,,"Thomas, abbat of the convent of Mār Isaac",9HGARXCQ,2#754-756#DCCLXXVIII,vol#p#entry,,,,,,,,,"Thomas, abar of the Convent of Mar Isaac of Gabūla",9HGARXCQ,"3#1330#Thomas, ab. of the c. of M. Isaac of Gabūla",vol#p#entry,,,,,,,,,
