	uri	relation1.possiblyIdentical	headword.en	DELETE	headword.syr	sourceURI.headword.syr	DELETE	DELETE	citedRange.headword.syr	citationUnit.headword.syr	anonymousDesc.syr	sourceURI.anonymousDesc.syr	citedRange.anonymousDesc.syr	citationUnit.anonymousDesc.syr	DELETE	DELETE	gender1	sourceURI.gender1	citedRange.gender1	abstract.en	sourceURI.abstract.en	citedRange.abstract.en	date1	notBefore.date1	notAfter.date1	type.date1	sourceURI.date1	citedRange.date1	date2	date2.notBefore	date2.notAfter	date2.type	sourceURI.date2	citedRange.date2	name1.en	sourceURI.name1	DELETE?	citedRange.name1	citationUnit.name1	idno
			Deuterius		ܕܘܛܪܝܣ	9KL93RUC	54; 111	3.2.44	54; 111#3.2.44	p#ch							http://syriaca.org/keyword/male	9KL93RUC	54; 111	One of the closest collaborators of John of Ephesus during his conversion campaigns in Asia Minor, Deuterius was responsible for the churches and monasteries John founded in Caria and was finally ordained miaphysite bishop of Caria in the 570s. As narrated in Joh. Eph., EH 2.44, he resisted attempts to bring him into Chalcedonian communion.	WJWVUEP5	217	570s			floruit	WJWVUEP5	217		0577-01-01	0581-12-31	death	WJWVUEP5	217	Deutérios	WJWVUEP5	Pros. Chret.	Déuterios#217	entry#p	
	2261		Diocletian		ܕܘܩܠܝܛܢܝܣ	9KL93RUC	47; 138	3.1.37; 3.3.12	47; 138#3.1.37; 3.3.12	p#ch							http://syriaca.org/keyword/male	9KL93RUC	47; 138	Diocletian ruled the Roman Empire from 284 to his abdication in 305. He stabilised the war-shaken Empire by nominating co-emperors, a system that became known as the Tetrarchy. In the last years of his reign, after 302, he turned against the growing Christian communities. Later authors like John of Ephesus therefore mainly remember him as one of the most cruel and savage Christian persecutors.	HJ85NAV2	253-254	284-305	0284-11-20		floruit	HJ85NAV2	253-254	0316-12-03			death	HJ85NAV2	253-254	Diocletianus	HJ85NAV2	PLRE 1	Diocletianus 2#253-254	entry#p	https://en.wikipedia.org/wiki/Diocletian
			Domentziolus		ܕܘܡܛܨܝܠܘܣ	9KL93RUC	332	3.6.28	332#3.6.28	p#ch							http://syriaca.org/keyword/male	9KL93RUC	332	Joh. Eph., EH 6.28, records Domentziolus as the curator, or overseer, of the Hormisdas palace in Constantinople. In this function, he was, in 579, sent to Armenia with gold to pay the mutinous Roman troops there. He remained an influential figure in Constantinople throughout Maurice's reign.	7K28WD3W	413-414	579-605			floruit	7K28WD3W	413-414		0605-12-31		death	7K28WD3W	413-414	Domentziolus	7K28WD3W	PLRE 3	Domentziolus 1#413-414	entry#p	
			Domitian (bishop of Melitene)		ܕܡܛܝܢܐ	9KL93RUC	252; 269	3.5.19	252; 269#3.5.19	p#ch	ܐܦܝܣܩܦܐ ܕܡܠܝܛܝܢܐ	9KL93RUC	270#3.5.19	p#ch	270	3.5.19	http://syriaca.org/keyword/male	9KL93RUC	252; 269	Domitian was nephew of the emperor Maurice and staunchly Chalcedonian bishop of Melitene from a relatively early age. Joh. Eph., EH 5.19, introduces him as one of Maurice's main theological advisers. Domitian played an important role in the campaign leading to the restoration of Khosrow II in 591. He instigated a persecution of the miaphysites in the eastern provinces in the late 590s.	7K28WD3W	411	c.580-602			floruit	7K28WD3W	411	0602-01-12			death	7K28WD3W	411	Domitianus	7K28WD3W	PLRE 3	Domitianus#411	entry#p	https://en.wikipedia.org/wiki/Domitian_of_Melitene
			Domninus III (patriarch of Antioch)		ܕܘܡܢܝܢܐ	9KL93RUC	50	3.1.41	50#3.1.41	p#ch							http://syriaca.org/keyword/male	9KL93RUC	50	Domninus was of Thracian origin and director of a poor-house. When on business in Constantinople, Justinian decided to make him patriarch of Antioch in 545.	U5Z65K65	30	545-559	0545-01-01	0559-12-31	floruit	U5Z65K65	30		0559-01-01	0559-12-31	death	U5Z65K65	30						
			Dorotheus		ܕܪܐܬܐܣ	9KL93RUC	49	3.1.40	49#3.1.40	p#ch							http://syriaca.org/keyword/male	9KL93RUC	49	Dorotheus was bishop and leader of the Julianists (the miaphysites in the tradition of Julian of Halicarnassus) in Egypt during the reigns of Justin II and Tiberius II.	NGTH294X	164	565-581	0565-01-01		floruit	NGTH294X	164		0581-01-01		death	NGTH294X	164						
			Eirpanomos		ܐܘܪܦܝܘܠܐ	9KL93RUC	237	3.4.52	237#3.4.52	p#ch	ܡܠܟܐ	9KL93RUC	234; 236; 237; 238; 240; 242#3.4.49; 3.4.50; 3.4.51; 3.4.52; 3.4.53	p#ch	234; 236; 237; 238; 240; 242	3.4.49; 3.4.50; 3.4.51; 3.4.52; 3.4.53	http://syriaca.org/keyword/male	9KL93RUC	237	Joh. Eph., EH 4.52, records the name 'Eurpyolo' for the king of Nobadia whom the miaphysite bishop Longinus met during his missionary journey. He may be identical with the Eirpanomos who is attested in inscriptions as king from c.560 to c.590.	GDD8J6HM	171-172	c.560-c.590			floruit	GDD8J6HM	171-172												
			Elias (bishop)								ܐܦܣܩܦܐ ܚܕ	9KL93RUC	262#3.5.12	p#ch	262	3.5.12	http://syriaca.org/keyword/male	9KL93RUC	262	Conon and Eugenius, the leaders of the tritheists, ordained numerous bishops throughout Asia minor. Joh. Eph., EH 5.12, heavily opposed to tritheism, reports that at least one of those bishops abandoned their doctrine and returned to orthodoxy. John does not give a name for this bishop, but he is probably identical with a certain Elias known from other documents.	HEUKLPH8	496-497	mid-580s			floruit	HEUKLPH8	496-497												
			Elisha (bishop of Sardis)		ܐܠܝܫܥ	9KL93RUC	14; 19; 58	3.1.15; 3.1.17; 3.2.4	14; 19; 58#3.1.15; 3.1.17; 3.2.4	p#ch							http://syriaca.org/keyword/male	9KL93RUC	14; 19; 58	Elisha of Sardis was one of the miaphysite bishops residing in Constantinople in the late 560s. Together with John of Ephesus, he became a victim of the miaphysite persecution in 571 and was imprisoned for his rejection of the council of Chalcedon.	WJWVUEP5	257-258		0559-01-01						0572-12-31		death	WJWVUEP5	257-258	Elissaios	WJWVUEP5	Pros. Chret.	Elissaios#257-258	entry#p	
	2274		Ephrem of Amida (patriarch of Antioch)		ܐܦܪܝܡ	9KL93RUC	50	3.1.41	50#3.1.41	p#ch							http://syriaca.org/keyword/male	9KL93RUC	50	Ephrem hailed from Roman Mesopotamia and was fluent in Syriac. He embarked on a military career and served as comes Orientis under Justin I. After the devastating earthquake which struck Antioch in May 526, he organised support for the afflicted population and thereby gained great popularity in Antioch. The people eventually chose him as new patriarch, a decision that was ultimately approved by the emperor.	6RXKPRGP	394-396	526-545	0527-01-01		floruit	6RXKPRGP	394-396		0545-01-01	0545-12-31	death	6RXKPRGP	394-396	Ephraemius	6RXKPRGP	PLRE 2	Ephraemius#394-396	entry#p	https://en.wikipedia.org/wiki/Ephraim_of_Antioch
			Epiphanius (patriarch of Constantinople)		ܐܦܦܢܝܣ	9KL93RUC	51	3.1.42	51#3.1.42	p#ch							http://syriaca.org/keyword/male	9KL93RUC	51	Epiphanius was a presbyter and advisor of patriarch John II of Constantinople and became his successor in 520. During his tenure, he was a loyal supporter of Justinian's religious policy.	QXKZR2IX	230-231; 260; 378; 381; 396	520-535	0520-02-25	0535-06-05	floruit	QXKZR2IX	230-231	0535-06-05			death	QXKZR2IX	230-231	Epiphanius Constantinopolitanus	JLMCGNS9	CPG	6836-6340#III, 296-297	entry#p	https://en.wikipedia.org/wiki/Epiphanius_of_Constantinople
			Eudaimon		ܐܘܕܡܘܢ	9KL93RUC	72	3.2.11	72#3.2.11	p#ch							http://syriaca.org/keyword/male	9KL93RUC	72	Eudaimon was as comes rei privatae in charge of the imperial properties. A convinced miaphysite, he refused to enter into Chalcedonian communion in 571 and was protected by Justin, according to Joh. Eph., EH 2.11.	7K28WD3W	456	571-577			floruit	7K28WD3W	456		0577-12-31		death	7K28WD3W	456	Eudaemon	7K28WD3W	PLRE 3	Eudaemon 3#456	entry#p	
			Eugenius (bishop of Seleucia)		ܐܘܓܝܢ	9KL93RUC	252; 253; 254; 255; 257; 261	3.5.1; 3.5.2; 3.5.3; 3.5.6; 3.5.11	252; 253; 254; 255; 257; 261#3.5.1; 3.5.2; 3.5.3; 3.5.6; 3.5.11	p#ch							http://syriaca.org/keyword/male	9KL93RUC	252; 253; 254; 255; 257; 261	Eugenius was miaphysite bishop of Seleucia in Isauria and a leader of the tritheist movement in the late 560s and early 570s. When the persecution of the miaphysites started in 571, Eugenius went into hiding. After the abatement of the persecution, Eugenius traveled together with Conon to Pamphylia, where he died in the late 570s, as mentioned in Joh. Eph., EH 5.6.	MBTEGB67	179-187		0553-01-01						0575-12-31	0578-12-31	death	MBTEGB67	179-187						
			Eulogius (patriarch of Alexandria)		ܐܘܠܓܝܘܣ	9KL93RUC	49; 157	3.1.40; 3.3.29	49; 157#3.1.40; 3.3.29	p#ch							http://syriaca.org/keyword/male	9KL93RUC	49; 157	Eulogius led a hospice (xenodochion) in Antioch before being made the Chalcedonian patriarch of Alexandria from 580/581 to 607.	N42AM4Q2	561	580/581-607	0580-09-26	0607-12-31	floruit	N42AM4Q2; 9KL93RUC	561; 49		0607-01-01	0607-12-31	death	N42AM4Q2; 9KL93RUC	561; 49	Eulogius Alexandrinus	JLMCGNS9	CPG	6971-6976#III, 319-320	entry#p	https://en.wikipedia.org/wiki/Eulogius_of_Alexandria
	2278		Euphrasius (patriarch of Antioch)		ܐܘܦܪܘܣ	9KL93RUC	50	3.1.41	50#3.1.41	p#ch							http://syriaca.org/keyword/male	9KL93RUC	50	A patriarch of Antioch about whom only very little is known, Euphrasius came to the episcopal throne in 521 and was in all likelihood a fierce persecutor of the miaphysites. He was killed in an earthquake that struck Antioch in 526, an end which for later miaphysite authors seemed fitting because of his deeds.	U5Z65K65	28	521-526			floruit	U5Z65K65	28	0526-05-29			death	U5Z65K65	28						
			Eustochius (patriarch of Jerusalem)		ܐܘܣܛܘܟܝܘܣ	9KL93RUC	119; 167	3.3.35	119; 167#3.3.35	p#ch							http://syriaca.org/keyword/male	9KL93RUC	119; 167	Eustochius hailed from Alexandria and was made patriarch of Jerusalem by Justinian after the deposition of the supposedly Origenist Macarius in late 552. He was then deposed himself in the early 560s, probably because he did not agree with Justinian on when to celebrate the feast of the Hypapante. Joh. Eph., EH 3.35, mentions that he lived about 18 years in a monastery in the Hormisdas palace in Constantinople as a generally revered holy man before being killed by one of his slaves.	QXKZR2IX	629; 655-656; 664; 685	552-563			floruit	QXKZR2IX	655-656; 685												https://en.wikipedia.org/wiki/Eustochius_of_Jerusalem
	482		Eutyches		ܐܘܛܘܟܝܢܣܛܐ (used as adjective)	9KL93RUC	145	3.3.18	145#3.3.18	p#ch							http://syriaca.org/keyword/male	9KL93RUC	145	Eutyches was archimandrite of a monk in Constantinople and opposed the doctrine of the two natures in Christ. His Christology was misunderstood and he was condemned as a heretic at the council of Chalcedon in 451 for supposedly denying the human nature in Christ.	N42AM4Q2	470-471	c.440-c.456			floruit	N42AM4Q2	570-571							Eutyches Archimandrita Constantinopolitanus	JLMCGNS9	CPG	5945-5951#III, 154–155	entry#p	https://en.wikipedia.org/wiki/Eutyches
			Eutychius (patriarch of Constantinople)		ܐܘܛܘܟ	9KL93RUC	45; 46; 47; 51; 52; 53; 54; 92; 97; 98; 99; 100; 101; 102; 103; 104; 106; 108; 116; 117; 118; 119; 120; 142; 143; 145; 146; 147; 148; 149; 172; 173; 217; 218; 262	3.1.34; 3.1.36; 3.1.37; 3.1.42; 3.2.27; 3.2.31; 3.2.32; 3.2.33; 3.2.34; 3.2.35; 3.2.36; 3.2.37; 3.2.38; 3.2.39; 3.2.40; 3.2.41; 3.2.51; 3.2.52; 3.3.15; 3.3.16; 3.3.17; 3.3.18; 3.3.19; 3.3.20; 3.3.21; 3.3.22; 3.3.38; 3.3.39; 3.4.37; 3.4.38; 3.5.11	45; 46; 47; 51; 52; 53; 54; 92; 97; 98; 99; 100; 101; 102; 103; 104; 106; 108; 116; 117; 118; 119; 120; 142; 143; 145; 146; 147; 148; 149; 172; 173; 217; 218; 262#3.1.34; 3.1.36; 3.1.37; 3.1.42; 3.2.27; 3.2.31; 3.2.32; 3.2.33; 3.2.34; 3.2.35; 3.2.36; 3.2.37; 3.2.38; 3.2.39; 3.2.40; 3.2.41; 3.2.51; 3.2.52; 3.3.15; 3.3.16; 3.3.17; 3.3.18; 3.3.19; 3.3.20; 3.3.21; 3.3.22; 3.3.38; 3.3.39; 3.4.37; 3.4.38; 3.5.11	p#ch	ܐܦܝܣܩܘܦܐ / ܦܛܪܝܪܟܐ	9KL93RUC	105; 107; 132; 134; 139; 143; 153; 160#3.2.39; 3.2.40; 3.3.7; 3.3.9; 3.3.13; 3.3.17; 3.3.26; 3.3.31	p#ch	105; 107; 132; 134; 139; 143; 153; 160	3.2.39; 3.2.40; 3.3.7; 3.3.9; 3.3.13; 3.3.17; 3.3.26; 3.3.31	http://syriaca.org/keyword/male	9KL93RUC	45; 46; 47; 51; 52; 53; 54; 92; 97; 98; 99; 100; 101; 102; 103; 104; 106; 108; 116; 117; 118; 119; 120; 142; 143; 145; 146; 147; 148; 149; 172; 173; 217; 218; 262	Eutychius was monk in Amasea and was sent as representative of the bishop of that city to Constantinople for the council of 553. Having won the trust of Justinian, he was made patriarch of Constantinople. Deposed in early 565, he returned as patriarch after the death of John Scholasticus in 577. John of Ephesus is hostile towards him because of his persecution of the miaphysites and claims that he held various unorthodox views.	BJFJXJJE	759	552-582			floruit	BJFJXJJE	759	0582-04-06			death	BJFJXJJE	759	Eutychius	JLMCGNS9	CPG	6937-6940#III, 312–313	entry#p	https://en.wikipedia.org/wiki/Eutychius_of_Constantinople#:~:text=Eutychius%20(Greek%3A%20%CE%95%CF%85%CF%84%CF%8D%CF%87%CE%B9%CE%BF%CF%82%2C%20Eutychios,and%20from%20577%20to%20582.
	2530		Flavian II (patriarch of Antioch)		ܦܠܘܝܢܐ	9KL93RUC	50	3.1.41	50#3.1.41	p#ch							http://syriaca.org/keyword/male	9KL93RUC	50	Flavian represented the see of Antioch as ambassador in Constantinople before being made patriarch of Antioch by Anastasius in 498. He attempted to follow a middle course between adherents and opponents of Chalcedon until he lost imperial support in 512 and was replaced by the miaphysite champion Severus. Exiled to Petra, Flavian died in 518.	U5Z65K65	25	498-512	0498-01-01	0512-31-12	floruit	U5Z65K65	25												https://en.wikipedia.org/wiki/Flavian_II_of_Antioch
	2654		Gaianus		ܓܐܝܢܐ	9KL93RUC	201; 203; 205	3.4.15; 3.4.17; 3.4.18	201; 203; 205#3.4.15; 3.4.17; 3.4.18	p#ch							http://syriaca.org/keyword/male	9KL93RUC	201; 203; 205	Gaianus was an Egyptian cleric and follower of the doctrine of Julian of Halicarnassus concerning the incorruptibility of Christ (Aphthartism). He was supported by a considerable part of the population of Alexandria after the death of Timothy IV in early 535; the new patriarch Theodosius was ousted and Gaianus acceded to the patriarchal throne for three months before a military expedition reinstalled Theodosius. Gaianus was sent into exile to the west, probably to Carthage.	NGTH294X	154	535			floruit	NGTH294X	154												https://en.wikipedia.org/wiki/Gaianus_of_Alexandria
			George of Beth Urtaye		ܓܘܪܓܝܣ ܐܘܪܛܝܐ	9KL93RUC	189	3.4.10	189#3.4.10	p#ch							http://syriaca.org/keyword/male	9KL93RUC	189	George was a miaphysite bishop, yet his see remains unknown. He hailed from the region of Beth Urtaye in southerrn Armenia. In 575, he ordained, together with John of Chalcis and Longinus, Theodore of Rhamnis as the new patriarch of Alexandria, as is narrated in Joh. Eph., EH 4.10.	MBTEGB67	235-237	570s			floruit	MBTEGB67	235-237												
			George Sarcabenus		ܓܘܪܓܝܣ ܣܪܩܒܝܢܘܣ	9KL93RUC	223	3.4.41	223#3.4.41	p#ch							http://syriaca.org/keyword/male	9KL93RUC	223	Joh. Eph., EH 4.41, recounts how Damian of Alexandria attempted to ordain a new miaphysite patriarch in Antioch in early 580. In this project, which ultimately failed, a certain George, called Sarcabenus, was one of his assistants.	9KL93RUC	223	580			floruit	9KL93RUC	223												
			George		ܓܘܪܓܝܣ	9KL93RUC	233	3.4.48	233#3.4.48	p#ch							http://syriaca.org/keyword/male	9KL93RUC	233	Joh. Eph., EH 4.48, mentions a certain presbyter George who was close to Theodore, whom Longinus had ordained patriarch of Alexandria in 575. Abandoned by both Longinus and Paul of Antioch, Theodore sent him as his messenger with complaints to the miaphysites in Constantinople, where John of Ephesus received him.	9KL93RUC	233	c.580			floruit	9KL93RUC	233												
			Georgia		ܓܐܘܪܓܝܐ	9KL93RUC	73	3.2.12	73#3.2.12	p#ch							http://syriaca.org/keyword/female	9KL93RUC	73	Georgia was of noble birth and a miaphysite, like her mother Antipatra and her husband John, the honorary consul. Joh. Eph., EH 2.12, states that she was persecuted for her faith.	7K28WD3W	513								0571-12-31		death	7K28WD3W	513	Georgia	7K28WD3W	PLRE 3	Georgia#513	entry#p	
			Germanus (patricius)		ܓܪܡܢܐ	9KL93RUC	285; 300; 330	3.6.4; 3.6.8; 3.6.27	285; 300; 330#3.6.4; 3.6.8; 3.6.27	p#ch							http://syriaca.org/keyword/male	9KL93RUC	285; 300; 330	Germanus was a cousin of the emperor Justinian and served as general in the theatres of war in the Balkans and against the Persians. In 550, he was appointed to bring the war against the Ostrogoths in Italy to a conclusion, yet he died before arriving there. He was father of the patricius Justinian who served as general under Justin II.	6RXKPRGP	505-507	519-550			floruit	6RXKPRGP	505-507			0550-12-31	death	6RXKPRGP	505-507	Germanus	6RXKPRGP	PLRE 2	Germanus 4#505-507	entry#p	https://en.wikipedia.org/wiki/Germanus_(cousin_of_Justinian_I)
			Gordia								ܚܬܗ	9KL93RUC	268; 269#3.5.18	p#ch	268; 269	3.5.18	http://syriaca.org/keyword/female	9KL93RUC	268	Having acceded on the imperial throne, Maurice invited his family, among them his sister Gordia, the wife of the general Philippicus, to Constantinople and presented them with much wealth and land property, as recorded in Joh. Eph., EH 5.18.	7K28WD3W	543	late 6th century			floruit	7K28WD3W	543							Gordia	7K28WD3W	PLRE 3	Gordia 2#543	entry#p	
			Gregory (patriarch of Antioch)		ܓܪܝܓܘܪ	9KL93RUC	50; 157; 252; 267	3.1.41; 3.3.29; 3.5.17	50; 157; 252; 267#3.1.41; 3.3.29; 3.5.17	p#ch	ܦܛܪܝܪܟܐ ܕܐܢܛܝܘܟܝܐ	9KL93RUC	174; 223; 225#3.3.40; 3.4.41; 3.4.42	p#ch	174; 223; 225	3.3.40; 3.4.41; 3.4.42	http://syriaca.org/keyword/male	9KL93RUC	50; 157; 252; 267	After a monastic career in Jerusalem and in the monastery on Mount Sinai, Gregory was made the new patriarch of Antioch in 570 after the deposition of Anastasius of Antioch.	U5Z65K65	33	570-592	0570-01-01	0592-12-31	floruit	U5Z65K65	33		0592-01-01	0592-12-31	death	U5Z65K65	33	Gregorius Antiochenus	JLMCGNS9	CPG	7384-7390#III, 382-384	entry#p	https://en.wikipedia.org/wiki/Gregory_of_Antioch
			Gregory (praetorian prefect)		ܓܪܝܓܪܝܘܣ	9KL93RUC	309	3.6.14	309#3.6.14	p#ch							http://syriaca.org/keyword/male	9KL93RUC	309	Gregory was dispatched by the Caesar Tiberius to Armenia to restore the army there which had suffered severe defeats against the Persian general Tamkhusrow, according to Joh. Eph., EH 6.14.	7K28WD3W	549	577/578			floruit	7K28WD3W	549							Gregorius	7K28WD3W	PLRE 3	Gregorius 4#549	entry#p	
			Guaram		ܓܘܪܓܘܢܝܣ	9KL93RUC	305	3.6.11	305#3.6.11	p#ch							http://syriaca.org/keyword/male	9KL93RUC	305	Guaram (Gurgenes in the Greek sources) was ruler of the Caucasian Iberians and joined, in the early 570s, the Armenian revolt against the Persians, as recorded in Joh. Eph., EH 6.11. He remained in Constantinople until the late 580s, when Maurice sent him back as ruler for the Iberians.	7K28WD3W	558	c.572-c.602			floruit	7K28WD3W	558							Guaram I	7K28WD3W	PLRE 3	Guaram I#558	entry#p	https://en.wikipedia.org/wiki/Guaram_I_of_Iberia
			al-Harith ibn Jabalah		ܚܪܬ ܒܪ ܓܒܠܐ	9KL93RUC	123; 208; 209; 216; 280	3.3.2; 3.4.21; 3.4.22; 3.4.36; 3.6.3	123; 208; 209; 216; 280#3.3.2; 3.4.21; 3.4.22; 3.4.36; 3.6.3	p#ch							http://syriaca.org/keyword/male	9KL93RUC	123; 208; 209; 216; 280	Named Arethas in the Greek sources, al-Harith was ruler of the Jafnid confederation on Rome's eastern desert border. He supported the Romans in their wars against the Persians and was important for the development of an independent miaphysite episcopal hierarchy in the east since he asked for the installation of miaphysite bishops in his territory in 542, a process eventually leading to the consecration of Jacob Burd'oyo.	7K28WD3W	111-113	528-569			floruit	7K28WD3W	111-113			0569-12-31	death	7K28WD3W	111-113	Arethas	7K28WD3W	PLRE 3	Arethas#111-113	entry#p	https://en.wikipedia.org/wiki/Al-Harith_ibn_Jabalah
			Hormizd IV		ܗܘܪܡܙܕ	9KL93RUC	320; 333; 334	3.6.22; 3.6.29	320; 333; 334#3.6.22; 3.6.29	p#ch	ܒܪܗ ܕܟܣܪܘܢ / ܡܠܟܐ ܕܦܪ̈ܣܝܐ	9KL93RUC	276; 320; 321; 328; 329; 334#3.6.21; 3.6.22; 3.6.26; 3.6.29	p#ch	276; 320; 321; 328; 329; 334	3.6.21; 3.6.22; 3.6.26; 3.6.29	http://syriaca.org/keyword/male	9KL93RUC	320; 333; 334	Hormizd succeeded his father Khosrow as ruler of the Sasanian Empire in early 579. The sources describe him as a tyrant who was highly unpopular in Persia and who broke off the peace negotiations with the Romans. He was overthrown in early 590 when one of his generals revolted against him.	7K28WD3W	603-604	579-590	0579-03-07	0590-02-06	floruit	7K28WD3W	603-604		0590-02-06		death	7K28WD3W	603-604	Hormisdas	7K28WD3W	PLRE 3	Hormisdas IV#603-604	entry#p	https://en.wikipedia.org/wiki/Hormizd_IV
			Ino Anastasia		ܝܢܘ ܐܢܣܛܣܝܐ	9KL93RUC	132; 134	3.3.8; 3.3.9	132; 134#3.3.8; 3.3.9	p#ch	ܐܢܬܬܗ (ܕܛܒܪܝܘܣ ܩܣܪ)	9KL93RUC	118; 119; 131; 132; 133; 134; 135; 150#3.3.7; 3.3.8; 3.3.9; 3.3.10; 3.3.23	p#ch	118; 119; 131; 132; 133; 134; 135; 150	3.3.7; 3.3.8; 3.3.9; 3.3.10; 3.3.23	http://syriaca.org/keyword/male	9KL93RUC	132; 134	Ino was the wife of Tiberius, but Sophia did not allow her to reside in the imperial palace together with Tiberius when he was Caesar from 574 to 578. After Justin's death in 578, Tiberius elevated her to the rank of Augusta and declared to the people that she would be known as Aelia Anastasia. She moved into the palace, where she remained after her husband's death in 582.	7K28WD3W	60-61	578-593	0578-10-04		floruit	7K28WD3W	60-61			0593-12-31	death	7K28WD3W	60-61	Aelia Anastasia	7K28WD3W	PLRE 3	Aelia Anastasia 2#60-61	entry#p	https://en.wikipedia.org/wiki/Ino_Anastasia
			Istemi			9KL93RUC	323	3.6.23	323#3.6.23	p#ch	ܡܠܟܐ ܪܒܐ	9KL93RUC	#	p#ch			http://syriaca.org/keyword/male	9KL93RUC	323	Together with his brother, Istemi (Silzibul/Sizabul in the Greek sources) founded the First Turk Empire in central Asia in the mid-6th century. In c.570, a Roman embassy led by Zemarchus arrived at his court in the hope to conclude an alliance against the Persians. The main source for this embassy are the fragments of Menander Protector, but it is also mentioned in Joh. Eph., EH 6.23.	7K28WD3W	1163-1164	c.552-c.575			floruit	7K28WD3W	1163-1164			0575-12-31	death	7K28WD3W	1163-1164	Sizabulus	7K28WD3W	PLRE 3	Sizabulus#1163-1164	entry#p	https://en.wikipedia.org/wiki/Ist%C3%A4mi
			Itqyo		ܐܝܛܩܝܐ	9KL93RUC	237; 239	3.4.51; 3.4.53	237; 239#3.4.51; 3.4.53	p#ch							http://syriaca.org/keyword/male	9KL93RUC	237; 239	This person, probably called Itqyo or Itiqo, was an Alodian nobleman and dispatched by the king of the Alodians to receive Longinus upon his arrival at the borders of the kingdom, as recounted in Joh. Eph., EH 4.51 and 53.	9KL93RUC	237; 239	c.580			floruit	9KL93RUC	237; 239												
	69		Jacob Burd'oyo		ܝܥܩܘܒ	9KL93RUC	51; 193; 196; 199; 201; 202; 204; 205; 206; 207; 208; 209; 210; 212; 213; 214; 215; 216; 217; 218; 219; 228; 230; 231; 247; 248; 318	3.1.41; 3.4.11; 3.4.12; 3.4.14; 3.4.15; 3.4.17; 3.4.18; 3.4.19; 3.4.20; 3.4.21; 3.4.22; 3.4.32; 3.4.33; 3.4.34; 3.4.35; 3.4.36; 3.4.39; 3.4.45; 3.4.46; 3.4.58; 3.4.59; 3.6.20	51; 193; 196; 199; 201; 202; 204; 205; 206; 207; 208; 209; 210; 212; 213; 214; 215; 216; 217; 218; 219; 228; 230; 231; 247; 248; 318#3.1.41; 3.4.11; 3.4.12; 3.4.14; 3.4.15; 3.4.17; 3.4.18; 3.4.19; 3.4.20; 3.4.21; 3.4.22; 3.4.32; 3.4.33; 3.4.34; 3.4.35; 3.4.36; 3.4.39; 3.4.45; 3.4.46; 3.4.58; 3.4.59; 3.6.20	p#ch							http://syriaca.org/keyword/male	9KL93RUC	51; 193; 196; 199; 201; 202; 204; 205; 206; 207; 208; 209; 210; 212; 213; 214; 215; 216; 217; 218; 219; 228; 230; 231; 247; 248; 318	Jacob was of crucial importance for the development of an independent miaphysite Syrian church in the second half of the sixth century. Consecrated bishop of Edessa by Theodosius of Alexandria in c.542, Jacob ordained a large number of priests in the following years thoughout Syria, thereby ensuring the survival of the miaphysite movement despite Justinian's policy to install Chalcedonian bishops in every city. He was the most authoritative anti-Chalcedonian bishop in Rome's eastern provinces. His position was such that even Paul of Antioch had to ask for his forgiveness after he had entered Chalcedonian communion in the early 570s. Joh. Eph., EH 4.15-34 treats the last years of his life and his conflict with Paul of Antioch.	MBTEGB67	168-177	542-578			floruit	MBTEGB67	168-177	0578-07-30			death	MBTEGB67	168-177						https://en.wikipedia.org/wiki/Jacob_Baradaeus
			John II (katholikos of Armenia)								ܩܛܘܠܝܩܐ	9KL93RUC	79; 81; 82; 84; 85; 86#3.2.18; 3.2.20; 3.2.21; 3.2.22; 3.2.23	p#ch	79; 81; 82; 84; 85; 86	3.2.18; 3.2.20; 3.2.21; 3.2.22; 3.2.23	http://syriaca.org/keyword/male	9KL93RUC	79; 81; 82; 84; 85; 86	Joh. Eph., EH 2.18-23, narrates that the katholikos (John II) of Armenia came to Constantinople in the early 570s when the Christians in Armenia were suffering from the Persian suppression.	9KL93RUC	79; 81; 82; 84; 85; 86	572-574			floruit	9KL93RUC	79; 81; 82; 84; 85; 86												
